id,language,code
5,c,"static void aio_nr_sub(unsigned nr)
{
	spin_lock(&aio_nr_lock);
	if (WARN_ON(aio_nr - nr > aio_nr))
		aio_nr = 0;
	else
		aio_nr -= nr;
	spin_unlock(&aio_nr_lock);
}"
6,c,"static inline void iocb_destroy(struct aio_kiocb *iocb)
{
	if (iocb->ki_eventfd)
		eventfd_ctx_put(iocb->ki_eventfd);
	if (iocb->ki_filp)
		fput(iocb->ki_filp);
	percpu_ref_put(&iocb->ki_ctx->reqs);
	kmem_cache_free(kiocb_cachep, iocb);
}"
7,c,"static bool get_reqs_available(struct kioctx *ctx)
{
	if (__get_reqs_available(ctx))
		return true;
	user_refill_reqs_available(ctx);
	return __get_reqs_available(ctx);
}"
8,c,"SYSCALL_DEFINE1(io_destroy, aio_context_t, ctx)
{
	struct kioctx *ioctx = lookup_ioctx(ctx);
	if (likely(NULL != ioctx))
	{
		struct ctx_rq_wait wait;
		int ret;
		init_completion(&wait.comp);
		atomic_set(&wait.count, 1);
		ret = kill_ioctx(current->mm, ioctx, &wait);
		percpu_ref_put(&ioctx->users);
		if (!ret)
			wait_for_completion(&wait.comp);
		return ret;
	}
	pr_debug(""EINVAL: invalid context id\n"");
	return -EINVAL;
}"
10,c,"struct __aio_sigset
{
	const sigset_t __user *sigmask;
	size_t sigsetsize;
};"
16,c,"int cma_for_each_area(int (*it)(struct cma *cma, void *data), void *data)
{
	int i;
	for (i = 0; i < cma_area_count; i++)
	{
		int ret = it(&cma_areas[i], data);
		if (ret)
			return ret;
	}
	return 0;
}"
17,c,"static inline unsigned int pe_order(enum page_entry_size pe_size)
{
	if (pe_size == PE_SIZE_PTE)
		return PAGE_SHIFT - PAGE_SHIFT;
	if (pe_size == PE_SIZE_PMD)
		return PMD_SHIFT - PAGE_SHIFT;
	if (pe_size == PE_SIZE_PUD)
		return PUD_SHIFT - PAGE_SHIFT;
	return ~0;
}"
18,c,"static int __init init_dax_wait_table(void)
{
	int i;
	for (i = 0; i < DAX_WAIT_TABLE_ENTRIES; i++)
		init_waitqueue_head(wait_table + i);
	return 0;
}"
19,c,"static void wait_entry_unlocked(struct xa_state *xas, void *entry)
{
	struct wait_exceptional_entry_queue ewait;
	wait_queue_head_t *wq;
	init_wait(&ewait.wait);
	ewait.wait.func = wake_exceptional_entry_func;
	wq = dax_entry_waitqueue(xas, entry, &ewait.key);
	prepare_to_wait(wq, &ewait.wait, TASK_UNINTERRUPTIBLE);
	xas_unlock_irq(xas);
	schedule();
	finish_wait(wq, &ewait.wait);
}"
20,c,"static void put_unlocked_entry(struct xa_state *xas, void *entry)
{
	if (entry)
		dax_wake_entry(xas, entry, false);
}"
21,c,"static void dax_unlock_entry(struct xa_state *xas, void *entry)
{
	void *old;
	BUG_ON(dax_is_locked(entry));
	xas_reset(xas);
	xas_lock_irq(xas);
	old = xas_store(xas, entry);
	xas_unlock_irq(xas);
	BUG_ON(!dax_is_locked(old));
	dax_wake_entry(xas, entry, false);
}"
23,c,"static int aio_init_fs_context(struct fs_context *fc)
{
	if (!init_pseudo(fc, AIO_RING_MAGIC))
		return -ENOMEM;
	fc->s_iflags |= SB_I_NOEXEC;
	return 0;
}"
24,c,"int dax_delete_mapping_entry(struct address_space *mapping, pgoff_t index)
{
	int ret = __dax_invalidate_entry(mapping, index, true);
	WARN_ON_ONCE(!ret);
	return ret;
}"
25,c,"unsigned long pgoff_address(pgoff_t pgoff, struct vm_area_struct *vma)
{
	unsigned long address;
	address = vma->vm_start + ((pgoff - vma->vm_pgoff) << PAGE_SHIFT);
	VM_BUG_ON_VMA(address < vma->vm_start || address >= vma->vm_end, vma);
	return address;
}"
26,c,"static sector_t dax_iomap_sector(struct iomap *iomap, loff_t pos)
{
	return (iomap->addr + (pos & PAGE_MASK) - iomap->offset) >> 9;
}"
28,c,"fallback:
	if (result == VM_FAULT_FALLBACK)
	{
		split_huge_pmd(vma, vmf->pmd, vmf->address);
		count_vm_event(THP_FAULT_FALLBACK);
	}"
30,c,"void unregister_binfmt(struct linux_binfmt *fmt)
{
	write_lock(&binfmt_lock);
	list_del(&fmt->lh);
	write_unlock(&binfmt_lock);
}"
31,c,"EXPORT_SYMBOL(unregister_binfmt);
static inline void put_binfmt(struct linux_binfmt *fmt)
{
	module_put(fmt->module);
}
bool path_noexec(const struct path *path)
{
	return (path->mnt->mnt_flags & MNT_NOEXEC) ||
				 (path->mnt->mnt_sb->s_iflags & SB_I_NOEXEC);
}"
4,c,"pr_debug(""mmap address: 0x%08lx\n"", ctx->mmap_base);
ctx->user_id = ctx->mmap_base;
ctx->nr_events = nr_events; 
ring = kmap_atomic(ctx->ring_pages[0]);
ring->nr = nr_events; 
ring->id = ~0U;
ring->head = ring->tail = 0;
ring->magic = AIO_RING_MAGIC;
ring->compat_features = AIO_RING_COMPAT_FEATURES;
ring->incompat_features = AIO_RING_INCOMPAT_FEATURES;
ring->header_length = sizeof(struct aio_ring);"
22,c,"if (entry) {
  dax_lock_entry(xas, entry);
} else {
  entry = dax_make_entry(pfn_to_pfn_t(0), size_flag | DAX_EMPTY);
  dax_lock_entry(xas, entry);
  if (xas_error(xas))
    goto out_unlock;
  mapping->nrexceptional++;
}"
27,c,"pos = (loff_t)xas.xa_index << PAGE_SHIFT;
error = ops->iomap_begin(inode, pos, PMD_SIZE, iomap_flags, &iomap);
if (error)
  goto unlock_entry;
if (iomap.offset + iomap.length < pos + PMD_SIZE)
  goto finish_iomap;"
29,c,"switch (pe_size)
{
case PE_SIZE_PTE:
  return dax_iomap_pte_fault(vmf, pfnp, iomap_errp, ops);
case PE_SIZE_PMD:
  return dax_iomap_pmd_fault(vmf, pfnp, ops);
default:
  return VM_FAULT_FALLBACK;
}"
32,c,"list_for_each_entry(fmt, &formats, lh)
{
  if (!fmt->load_shlib)
    continue;
  if (!try_module_get(fmt->module))
    continue;
  read_unlock(&binfmt_lock);
  error = fmt->load_shlib(file);
  read_lock(&binfmt_lock);
  put_binfmt(fmt);
  if (error != -ENOEXEC)
    break;
}"
33,c,"static void acct_arg_size(struct linux_binprm *bprm, unsigned long pages)
{
	struct mm_struct *mm = current->mm;
	long diff = (long)(pages - bprm->vma_pages);
	if (!mm || !diff)
		return;
	bprm->vma_pages = pages;
	add_mm_counter(mm, MM_ANONPAGES, diff);
}"
34,c,"static int __init aio_setup(void)
{
	static struct file_system_type aio_fs = {
			.name = ""aio"",
			.init_fs_context = aio_init_fs_context,
			.kill_sb = kill_anon_super,
	};
	aio_mnt = kern_mount(&aio_fs);
	if (IS_ERR(aio_mnt))
		panic(""Failed to create aio fs mount."");
	kiocb_cachep = KMEM_CACHE(aio_kiocb, SLAB_HWCACHE_ALIGN | SLAB_PANIC);
	kioctx_cachep = KMEM_CACHE(kioctx, SLAB_HWCACHE_ALIGN | SLAB_PANIC);
	aio_sysctl_init();
	return 0;
}"
35,c,"static void free_arg_pages(struct linux_binprm *bprm)
{
	int i;
	for (i = 0; i < MAX_ARG_PAGES; i++)
		free_arg_page(bprm, i);
}"
37,c,"struct file *open_exec(const char *name)
{
	struct filename *filename = getname_kernel(name);
	struct file *f = ERR_CAST(filename);
	if (!IS_ERR(filename))
	{
		f = do_open_execat(AT_FDCWD, filename, 0);
		putname(filename);
	}
	return f;
}"
38,c,"ssize_t read_code(struct file *file, unsigned long addr, loff_t pos, size_t len)
{
	ssize_t res = vfs_read(file, (void __user *)addr, len, &pos);
	if (res > 0)
		flush_icache_range(addr, addr + len);
	return res;
}"
